collection_extract,ALOUETTE_RIVER,ASHLU_CREEK,ATNARKO_RIVER,BABINE_RIVER-SECTIONS_1_TO_3,BEDWELL_RIVER,BLIND_CREEK,BOWRON_RIVER,BRIDGE_RIVER,BULKLEY_RIVER-UPPER,BURMAN_RIVER,CARIBOO_RIVER-UPPER,CHEAKAMUS_RIVER,CHEHALIS_RIVER_summer,CHEMAINUS_RIVER,CHILAKO_RIVER,CHILKO_RIVER,CHILCOTIN_RIVER,CHILCOTIN_RIVER-UPPER,CHILLIWACK_RIVER_fall,CHILLIWACK_RIVER_summer,CHUCKWALLA_RIVER,COLDWATER_RIVER,CONUMA_RIVER,COQUITLAM_RIVER,COTTONWOOD_RIVER_LOWER,COWICHAN_RIVER,CYPRE_RIVER,DEADMAN_RIVER,ENDAKO_RIVER,FULTON_RIVER,GOLD_RIVER,GOLDSTREAM_RIVER,GOODSPEED_RIVER,GU2,GU4a,GU6b,GU6c,HARRISON_RIVER,HORSEFLY_RIVER,INDIANPOINT_CREEK,KENNEDY_RIVER-LOWER,KILBELLA_RIVER,KITIMAT_RIVER,KITSUMKALUM_RIVER-LOWER,KLOIYA_RIVER,KOKISH_RIVER,LANG_CREEK,LEINER_RIVER,LITTLE_CAMPBELL_RIVER,LITTLE_QUALICUM_RIVER,MAMQUAM_RIVER,MARBLE_RIVER,MARIA_SLOUGH,MCGREGOR_RIVER,MORKILL_RIVER,NAHATLATCH_RIVER,NAHMINT_RIVER,NANAIMO_RIVER_fall,NANAIMO_RIVER_summer,NAZKO_RIVER,NECHAKO_RIVER,NICOLA_RIVER,NICOMEKL_RIVER,NIMPKISH_RIVER,NITINAT_RIVER,NOOSGULCH_RIVER,NUSATSUM_RIVER,OKANAGAN_RIVER,OYSTER_RIVER,PHILLIPS_RIVER,PORTAGE_CREEK,PORTEAU_COVE,PUNTLEDGE_RIVER,PUNTLEDGE_RIVER_fall,QUALICUM_RIVER,QUESNEL_RIVER,QUINSAM_RIVER,ROBERTSON_CREEK,SALLOOMT_RIVER,SALMON_RIVER,SALMON_RIVER_JNST,SALMON_RIVER_SOTH,SAN_JUAN_RIVER,SARITA_RIVER,SERPENTINE_RIVER,SHOVELNOSE_CREEK,SHUSWAP_RIVER-LOWER,SHUSWAP_RIVER-MIDDLE,SLIAMMON_CREEK,SLIM_CREEK,SOOKE_RIVER,SOUTHGATE_RIVER,SPIUS_CREEK,STAVE_RIVER,SUCWOA_RIVER,SWIFT_CREEK,TAHSIS_RIVER,TAHSISH_RIVER,TATCHUN_RIVER,TETE_JAUNE,THORNTON_CREEK,TLUPANA_RIVER,TOQUART_RIVER,TORPY_RIVER,TRANQUIL_CREEK,WANNOCK_RIVER,WEST_ROAD_BLACKWATER_RIVER,WILLOW_RIVER,WOSS_RIVER,YAKOUN_RIVER,YUKON_RIVER@WHITEHORSE
2020_F_geno,0.00000,5.00000,447.00000,0.00000,0.00000,0.00000,2.00000,0.00000,1.00000,49.00000,0.00000,23.00000,91.00000,3.00000,0.00000,47.00000,1.00000,0.00000,911.00000,155.00000,12.00000,33.00000,801.00000,0.00000,0.00000,68.00000,0.00000,0.00000,1.00000,0.00000,107.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,104.00000,0.00000,2.00000,0.00000,15.00000,309.00000,64.00000,0.00000,0.00000,0.00000,46.00000,0.00000,648.00000,4.00000,0.00000,9.00000,0.00000,0.00000,0.00000,27.00000,56.00000,30.00000,0.00000,7.00000,80.00000,18.00000,5.00000,1337.00000,0.00000,11.00000,2.00000,17.00000,0.00000,6.00000,0.00000,23.00000,425.00000,783.00000,0.00000,655.00000,1982.00000,9.00000,0.00000,23.00000,19.00000,139.00000,119.00000,29.00000,3.00000,146.00000,51.00000,0.00000,2.00000,1.00000,0.00000,22.00000,0.00000,0.00000,0.00000,36.00000,0.00000,0.00000,0.00000,45.00000,0.00000,14.00000,0.00000,0.00000,42.00000,0.00000,0.00000,0.00000,17.00000,26.00000
2020_M_brood,1.00000,7.00000,461.00000,0.00000,0.00000,0.00000,4.00000,9.00000,6.00000,95.00000,0.00000,25.00000,91.00000,7.00000,0.00000,51.00000,2.00000,7.00000,900.00000,155.00000,15.00000,25.00000,809.00000,0.00000,9.00000,58.00000,0.00000,0.00000,0.00000,0.00000,111.00000,0.00000,0.00000,9.00000,4.00000,3.00000,2.00000,110.00000,0.00000,5.00000,0.00000,21.00000,304.00000,44.00000,5.00000,1.00000,203.00000,46.00000,23.00000,666.00000,6.00000,0.00000,13.00000,0.00000,7.00000,0.00000,20.00000,58.00000,32.00000,0.00000,36.00000,67.00000,18.00000,0.00000,1103.00000,0.00000,14.00000,0.00000,15.00000,0.00000,11.00000,0.00000,24.00000,431.00000,807.00000,0.00000,663.00000,2020.00000,13.00000,1.00000,24.00000,21.00000,137.00000,122.00000,24.00000,4.00000,166.00000,52.00000,0.00000,5.00000,19.00000,0.00000,15.00000,0.00000,0.00000,0.00000,36.00000,0.00000,0.00000,0.00000,59.00000,0.00000,14.00000,0.00000,0.00000,45.00000,0.00000,0.00000,90.00000,12.00000,40.00000
2020_M_extract,0.00000,7.00000,448.00000,0.00000,0.00000,0.00000,4.00000,0.00000,10.00000,49.00000,0.00000,28.00000,91.00000,6.00000,0.00000,51.00000,2.00000,0.00000,914.00000,155.00000,15.00000,26.00000,814.00000,0.00000,0.00000,66.00000,0.00000,0.00000,1.00000,0.00000,110.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,110.00000,0.00000,5.00000,0.00000,20.00000,301.00000,152.00000,0.00000,0.00000,0.00000,49.00000,22.00000,664.00000,5.00000,0.00000,13.00000,0.00000,0.00000,0.00000,20.00000,58.00000,32.00000,0.00000,14.00000,73.00000,18.00000,5.00000,1156.00000,0.00000,9.00000,0.00000,13.00000,0.00000,11.00000,0.00000,24.00000,429.00000,813.00000,0.00000,660.00000,2066.00000,10.00000,0.00000,24.00000,21.00000,103.00000,121.00000,34.00000,4.00000,149.00000,51.00000,0.00000,5.00000,36.00000,0.00000,21.00000,0.00000,0.00000,0.00000,45.00000,0.00000,0.00000,0.00000,62.00000,0.00000,16.00000,0.00000,0.00000,45.00000,0.00000,0.00000,0.00000,16.00000,33.00000
2020_M_geno,0.00000,7.00000,445.00000,0.00000,0.00000,0.00000,4.00000,0.00000,10.00000,49.00000,0.00000,28.00000,91.00000,5.00000,0.00000,50.00000,2.00000,0.00000,911.00000,155.00000,14.00000,24.00000,797.00000,0.00000,0.00000,54.00000,0.00000,0.00000,1.00000,0.00000,108.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,109.00000,0.00000,5.00000,0.00000,20.00000,300.00000,132.00000,0.00000,0.00000,0.00000,49.00000,0.00000,664.00000,5.00000,0.00000,13.00000,0.00000,0.00000,0.00000,20.00000,58.00000,32.00000,0.00000,14.00000,73.00000,18.00000,4.00000,1155.00000,0.00000,9.00000,0.00000,11.00000,0.00000,11.00000,0.00000,24.00000,429.00000,766.00000,0.00000,660.00000,2065.00000,6.00000,0.00000,24.00000,21.00000,103.00000,121.00000,33.00000,4.00000,149.00000,51.00000,0.00000,5.00000,11.00000,0.00000,20.00000,0.00000,0.00000,0.00000,45.00000,0.00000,0.00000,0.00000,62.00000,0.00000,16.00000,0.00000,0.00000,45.00000,0.00000,0.00000,0.00000,16.00000,33.00000
2020_Tag_Rate,0.00000,1.00000,0.93193,0.00000,0.00000,0.00000,1.00000,0.00000,0.50000,0.26604,0.00000,1*,1.00000,0.71429,0.00000,0.98039,1.00000,0.00000,>1,1.00000,0.80000,0.96000,0.97543,0.00000,0.00000,0.87931,0.00000,0.00000,1.00000,0.00000,0.94644,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.93686,0.00000,1.00000,0.00000,0.95238,0.98684,>1,0.00000,0.00000,0.00000,>1,0.00000,0.99700,0.83333,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.93750,0.00000,0.15124,>1,1.00000,1*,>1,0.00000,0.64286,0.00000,0.56667,0.00000,1.00000,0.00000,1.00000,0.98838,0.91417,0.00000,0.97757,0.98902,0.41539,0.00000,1.00000,1.00000,0.75183,0.99180,0.80556,1.00000,0.80398,0.98077,0.00000,1.00000,0.02895,0.00000,>1,0.00000,0.00000,0.00000,>1,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,>1,0.79444
2021_F_brood,7.00000,4.00000,532.00000,0.00000,0.00000,0.00000,9.00000,6.00000,6.00000,111.00000,15.00000,17.00000,90.00000,12.00000,0.00000,49.00000,4.00000,3.00000,1092.00000,160.00000,8.00000,32.00000,818.00000,0.00000,0.00000,195.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,127.00000,14.00000,0.00000,1.00000,13.00000,276.00000,42.00000,0.00000,0.00000,216.00000,31.00000,16.00000,598.00000,4.00000,0.00000,1.00000,15.00000,0.00000,0.00000,19.00000,124.00000,47.00000,0.00000,8.00000,76.00000,20.00000,0.00000,1394.00000,0.00000,9.00000,0.00000,14.00000,0.00000,5.00000,0.00000,53.00000,460.00000,695.00000,0.00000,706.00000,1952.00000,9.00000,1.00000,26.00000,25.00000,140.00000,149.00000,34.00000,4.00000,127.00000,50.00000,19.00000,9.00000,18.00000,0.00000,26.00000,0.00000,0.00000,7.00000,65.00000,0.00000,1.00000,7.00000,38.00000,0.00000,2.00000,9.00000,3.00000,47.00000,14.00000,8.00000,0.00000,51.00000,26.00000
2021_F_extract,0.00000,4.00000,521.00000,0.00000,0.00000,0.00000,9.00000,6.00000,7.00000,33.00000,14.00000,17.00000,91.00000,12.00000,0.00000,49.00000,4.00000,0.00000,1088.00000,160.00000,8.00000,32.00000,814.00000,0.00000,0.00000,187.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,128.00000,10.00000,0.00000,0.00000,12.00000,275.00000,0.00000,0.00000,0.00000,0.00000,32.00000,0.00000,588.00000,4.00000,0.00000,1.00000,0.00000,0.00000,0.00000,31.00000,124.00000,48.00000,0.00000,8.00000,84.00000,0.00000,0.00000,1380.00000,0.00000,9.00000,0.00000,15.00000,0.00000,5.00000,0.00000,86.00000,458.00000,691.00000,0.00000,704.00000,2010.00000,9.00000,1.00000,27.00000,25.00000,156.00000,148.00000,0.00000,4.00000,127.00000,50.00000,20.00000,9.00000,0.00000,0.00000,26.00000,0.00000,0.00000,7.00000,65.00000,0.00000,0.00000,0.00000,39.00000,0.00000,2.00000,0.00000,1.00000,47.00000,0.00000,7.00000,0.00000,0.00000,26.00000
2021_F_geno,0.00000,4.00000,482.00000,0.00000,0.00000,0.00000,9.00000,6.00000,7.00000,0.00000,14.00000,17.00000,90.00000,12.00000,0.00000,49.00000,4.00000,0.00000,918.00000,64.00000,8.00000,30.00000,814.00000,0.00000,0.00000,177.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,126.00000,10.00000,0.00000,0.00000,12.00000,275.00000,0.00000,0.00000,0.00000,0.00000,32.00000,0.00000,588.00000,4.00000,0.00000,1.00000,0.00000,0.00000,0.00000,5.00000,123.00000,48.00000,0.00000,8.00000,83.00000,0.00000,0.00000,1359.00000,0.00000,9.00000,0.00000,15.00000,0.00000,0.00000,0.00000,0.00000,456.00000,689.00000,0.00000,684.00000,2003.00000,9.00000,1.00000,26.00000,25.00000,156.00000,147.00000,0.00000,4.00000,127.00000,50.00000,20.00000,9.00000,0.00000,0.00000,26.00000,0.00000,0.00000,7.00000,65.00000,0.00000,0.00000,0.00000,39.00000,0.00000,2.00000,0.00000,0.00000,47.00000,0.00000,7.00000,0.00000,0.00000,26.00000
2021_M_brood,7.00000,5.00000,535.00000,0.00000,0.00000,0.00000,18.00000,4.00000,15.00000,78.00000,26.00000,20.00000,90.00000,11.00000,0.00000,49.00000,8.00000,6.00000,1092.00000,160.00000,8.00000,21.00000,820.00000,0.00000,0.00000,192.00000,0.00000,0.00000,4.00000,0.00000,0.00000,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,128.00000,15.00000,0.00000,1.00000,13.00000,231.00000,46.00000,0.00000,0.00000,216.00000,34.00000,17.00000,598.00000,4.00000,0.00000,2.00000,30.00000,0.00000,0.00000,19.00000,130.00000,33.00000,0.00000,20.00000,83.00000,21.00000,0.00000,1341.00000,0.00000,10.00000,0.00000,6.00000,0.00000,9.00000,0.00000,54.00000,466.00000,710.00000,0.00000,706.00000,2033.00000,16.00000,6.00000,28.00000,25.00000,191.00000,149.00000,34.00000,10.00000,126.00000,51.00000,18.00000,22.00000,27.00000,0.00000,24.00000,0.00000,0.00000,14.00000,51.00000,0.00000,2.00000,16.00000,65.00000,0.00000,3.00000,18.00000,3.00000,47.00000,11.00000,18.00000,0.00000,51.00000,52.00000
2021_M_extract,0.00000,5.00000,530.00000,0.00000,0.00000,0.00000,18.00000,3.00000,14.00000,0.00000,30.00000,20.00000,90.00000,11.00000,0.00000,49.00000,8.00000,0.00000,1087.00000,160.00000,6.00000,30.00000,807.00000,0.00000,0.00000,221.00000,0.00000,0.00000,4.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,128.00000,5.00000,0.00000,0.00000,14.00000,230.00000,0.00000,0.00000,0.00000,0.00000,34.00000,0.00000,596.00000,4.00000,0.00000,2.00000,0.00000,0.00000,0.00000,40.00000,130.00000,34.00000,0.00000,20.00000,77.00000,0.00000,0.00000,1396.00000,0.00000,12.00000,0.00000,6.00000,0.00000,9.00000,0.00000,115.00000,464.00000,707.00000,0.00000,706.00000,2054.00000,12.00000,6.00000,27.00000,25.00000,140.00000,143.00000,0.00000,10.00000,126.00000,49.00000,17.00000,20.00000,0.00000,0.00000,30.00000,0.00000,0.00000,18.00000,49.00000,0.00000,0.00000,0.00000,70.00000,0.00000,8.00000,0.00000,0.00000,42.00000,0.00000,17.00000,0.00000,0.00000,52.00000
2021_M_geno,0.00000,5.00000,520.00000,0.00000,0.00000,0.00000,18.00000,3.00000,14.00000,0.00000,30.00000,20.00000,90.00000,1.00000,0.00000,49.00000,8.00000,0.00000,975.00000,160.00000,6.00000,24.00000,807.00000,0.00000,0.00000,184.00000,0.00000,0.00000,4.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,123.00000,5.00000,0.00000,0.00000,14.00000,229.00000,0.00000,0.00000,0.00000,0.00000,34.00000,0.00000,596.00000,4.00000,0.00000,2.00000,0.00000,0.00000,0.00000,7.00000,125.00000,30.00000,0.00000,20.00000,77.00000,0.00000,0.00000,1367.00000,0.00000,12.00000,0.00000,5.00000,0.00000,0.00000,0.00000,0.00000,463.00000,700.00000,0.00000,701.00000,2054.00000,12.00000,6.00000,27.00000,25.00000,137.00000,143.00000,0.00000,10.00000,126.00000,49.00000,17.00000,20.00000,0.00000,0.00000,27.00000,0.00000,0.00000,18.00000,49.00000,0.00000,0.00000,0.00000,70.00000,0.00000,7.00000,0.00000,0.00000,42.00000,0.00000,17.00000,0.00000,0.00000,50.00000
2021_Tag_Rate,0.00000,1.00000,0.88061,0.00000,0.00000,0.00000,1.00000,0.75000,>1,0.00000,0.93333,1.00000,1.00000,0.09091,0.00000,1.00000,1.00000,0.00000,0.75059,0.40000,0.75000,0.93750,0.97933,0.00000,0.00000,0.86987,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.95337,0.23810,0.00000,0.00000,0.92308,0.98775,0.00000,0.00000,0.00000,0.00000,>1,0.00000,0.97999,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.09695,0.95378,0.90909,0.00000,1.00000,0.92771,0.00000,0.00000,0.97489,0.00000,1.00000,0.00000,0.83333,0.00000,0.00000,0.00000,0.00000,0.98492,0.97740,0.00000,0.96198,>1,0.75000,1.00000,0.96429,1.00000,0.71728,0.94685,0.00000,1.00000,1.00000,0.96078,0.94444,0.90909,0.00000,0.00000,>11,0.00000,0.00000,>1,0.96078,0.00000,0.00000,0.00000,>1,0.00000,>1,0.00000,0.00000,0.89362,0.00000,0.82639,0.00000,0.00000,0.96154
2022_F_brood,7.00000,5.00000,401.00000,0.00000,0.00000,0.00000,0.00000,18.00000,0.00000,83.00000,15.00000,14.00000,90.00000,12.00000,0.00000,48.00000,4.00000,3.00000,1176.00000,118.00000,7.00000,34.00000,823.00000,0.00000,0.00000,239.00000,0.00000,0.00000,3.00000,0.00000,123.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,118.00000,0.00000,0.00000,4.00000,5.00000,181.00000,29.00000,0.00000,0.00000,94.00000,46.00000,17.00000,571.00000,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.00000,125.00000,59.00000,0.00000,5.00000,76.00000,3.00000,0.00000,1393.00000,1.00000,10.00000,0.00000,9.00000,0.00000,8.00000,0.00000,69.00000,418.00000,818.00000,0.00000,700.00000,1988.00000,13.00000,0.00000,21.00000,25.00000,128.00000,166.00000,25.00000,7.00000,135.00000,52.00000,0.00000,8.00000,34.00000,13.00000,27.00000,0.00000,0.00000,6.00000,51.00000,0.00000,0.00000,0.00000,17.00000,0.00000,0.00000,9.00000,0.00000,39.00000,10.00000,26.00000,520.00000,35.00000,13.00000
2022_F_extract,0.00000,4.00000,398.00000,0.00000,0.00000,0.00000,0.00000,22.00000,6.00000,76.00000,15.00000,14.00000,90.00000,12.00000,5.00000,48.00000,4.00000,3.00000,1173.00000,119.00000,7.00000,34.00000,834.00000,0.00000,0.00000,232.00000,0.00000,0.00000,3.00000,0.00000,122.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,118.00000,0.00000,0.00000,0.00000,5.00000,168.00000,0.00000,0.00000,0.00000,0.00000,53.00000,17.00000,569.00000,3.00000,5.00000,0.00000,0.00000,0.00000,0.00000,34.00000,122.00000,57.00000,11.00000,5.00000,76.00000,0.00000,0.00000,1355.00000,0.00000,9.00000,1.00000,9.00000,0.00000,8.00000,0.00000,84.00000,418.00000,817.00000,0.00000,699.00000,2003.00000,13.00000,1.00000,13.00000,25.00000,145.00000,165.00000,25.00000,7.00000,135.00000,52.00000,0.00000,8.00000,33.00000,0.00000,27.00000,0.00000,0.00000,6.00000,47.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,39.00000,0.00000,26.00000,0.00000,45.00000,13.00000
2022_F_geno,0.00000,4.00000,344.00000,0.00000,0.00000,0.00000,0.00000,17.00000,6.00000,75.00000,13.00000,11.00000,82.00000,12.00000,5.00000,48.00000,4.00000,0.00000,1029.00000,112.00000,7.00000,29.00000,549.00000,0.00000,0.00000,226.00000,0.00000,0.00000,2.00000,0.00000,99.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,109.00000,0.00000,0.00000,0.00000,5.00000,162.00000,0.00000,0.00000,0.00000,0.00000,31.00000,0.00000,569.00000,3.00000,5.00000,0.00000,0.00000,0.00000,0.00000,0.00000,115.00000,57.00000,10.00000,4.00000,75.00000,0.00000,0.00000,1322.00000,0.00000,9.00000,1.00000,8.00000,0.00000,8.00000,0.00000,83.00000,400.00000,724.00000,0.00000,671.00000,1970.00000,13.00000,0.00000,13.00000,25.00000,135.00000,165.00000,0.00000,7.00000,133.00000,51.00000,0.00000,8.00000,13.00000,0.00000,27.00000,0.00000,0.00000,6.00000,34.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,36.00000,0.00000,22.00000,0.00000,42.00000,13.00000
2022_M_brood,7.00000,7.00000,418.00000,0.00000,0.00000,0.00000,0.00000,18.00000,0.00000,75.00000,30.00000,21.00000,92.00000,12.00000,0.00000,49.00000,5.00000,7.00000,1176.00000,118.00000,7.00000,29.00000,823.00000,0.00000,0.00000,187.00000,0.00000,0.00000,7.00000,0.00000,123.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,118.00000,0.00000,0.00000,8.00000,8.00000,161.00000,0.00000,0.00000,0.00000,95.00000,43.00000,17.00000,582.00000,3.00000,0.00000,0.00000,0.00000,0.00000,0.00000,25.00000,125.00000,61.00000,0.00000,10.00000,73.00000,5.00000,0.00000,1322.00000,2.00000,10.00000,0.00000,10.00000,0.00000,17.00000,0.00000,75.00000,425.00000,760.00000,0.00000,701.00000,2013.00000,13.00000,0.00000,24.00000,23.00000,193.00000,173.00000,25.00000,8.00000,134.00000,52.00000,0.00000,14.00000,62.00000,15.00000,28.00000,0.00000,0.00000,12.00000,29.00000,0.00000,0.00000,0.00000,31.00000,0.00000,0.00000,19.00000,0.00000,42.00000,30.00000,41.00000,438.00000,35.00000,29.00000
2022_M_extract,0.00000,7.00000,412.00000,0.00000,0.00000,0.00000,0.00000,17.00000,16.00000,70.00000,30.00000,21.00000,91.00000,12.00000,5.00000,49.00000,5.00000,5.00000,1172.00000,118.00000,6.00000,30.00000,837.00000,0.00000,0.00000,201.00000,0.00000,0.00000,7.00000,0.00000,128.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,118.00000,0.00000,0.00000,0.00000,10.00000,160.00000,0.00000,0.00000,0.00000,0.00000,31.00000,17.00000,584.00000,3.00000,5.00000,0.00000,0.00000,0.00000,0.00000,35.00000,117.00000,61.00000,28.00000,9.00000,71.00000,0.00000,0.00000,1150.00000,0.00000,9.00000,0.00000,10.00000,0.00000,17.00000,0.00000,133.00000,424.00000,768.00000,0.00000,701.00000,1823.00000,11.00000,2.00000,12.00000,23.00000,196.00000,170.00000,23.00000,8.00000,134.00000,52.00000,0.00000,14.00000,71.00000,0.00000,28.00000,0.00000,0.00000,12.00000,31.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,42.00000,0.00000,41.00000,0.00000,26.00000,25.00000
2022_M_geno,0.00000,7.00000,391.00000,0.00000,0.00000,0.00000,0.00000,17.00000,16.00000,70.00000,28.00000,21.00000,0.00000,12.00000,5.00000,49.00000,5.00000,0.00000,1133.00000,118.00000,6.00000,30.00000,816.00000,0.00000,0.00000,181.00000,0.00000,0.00000,7.00000,0.00000,121.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,118.00000,0.00000,0.00000,0.00000,10.00000,154.00000,0.00000,0.00000,0.00000,0.00000,22.00000,0.00000,583.00000,3.00000,4.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,61.00000,28.00000,9.00000,67.00000,0.00000,0.00000,1138.00000,0.00000,8.00000,0.00000,8.00000,0.00000,17.00000,0.00000,133.00000,415.00000,610.00000,0.00000,688.00000,1820.00000,7.00000,0.00000,11.00000,22.00000,192.00000,170.00000,0.00000,7.00000,132.00000,51.00000,0.00000,14.00000,26.00000,0.00000,28.00000,0.00000,0.00000,12.00000,19.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,39.00000,0.00000,24.00000,0.00000,24.00000,24.00000
2022_Tag_Rate,0.00000,0.80000,0.80244,0.00000,0.00000,0.00000,0.00000,0.89198,1*,0.84337,0.80889,0.78571,0.00000,1.00000,1*,1.00000,1.00000,0.00000,0.84301,0.94915,0.85714,0.85294,0.66140,0.00000,0.00000,0.91527,0.00000,0.00000,0.66667,0.00000,0.79179,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.92373,0.00000,0.00000,0.00000,>1,0.85611,0.00000,0.00000,0.00000,0.00000,0.34479,0.00000,0.99650,1.00000,1*,0.00000,0.00000,0.00000,0.00000,0.00000,0.73600,0.96610,1*,0.72000,0.90573,0.00000,0.00000,0.81694,0.00000,0.72000,0.00000,0.71111,0.00000,1.00000,0.00000,>1,0.93442,0.71040,0.00000,0.94079,0.89594,0.53846,0.00000,0.28373,0.95652,0.99482,0.97674,0.00000,0.87500,0.97048,0.96191,0.00000,1.00000,0.16034,0.00000,1.00000,0.00000,0.00000,1.00000,0.43678,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.85714,0.00000,0.49531,0.00000,0.68571,0.82759
